Time id,Material,Material_Id,Quantity,Total_Value
38,C87-400114,34314.0,69.0,2502906.62999999
1,S01-110220,34394.0,6.0,846345.87
2,S01-110220,34394.0,10.0,1410056.41
3,S01-110220,34394.0,11.0,1551000.69
4,S01-110220,34394.0,11.0,1583201.64
5,S01-110220,34394.0,2.0,289030.11
6,S01-110220,34394.0,10.0,1462132.58
7,S01-110220,34394.0,5.0,735077.02
8,S01-110220,34394.0,9.0,1315496.45
9,S01-110220,34394.0,5.0,748038.52
10,S01-110220,34394.0,9.0,1340381.24
11,S01-110220,34394.0,2.0,299908.52
12,S01-110220,34394.0,9.0,1350239.76
13,S01-110220,34394.0,8.0,1191531.2
14,S01-110220,34394.0,12.0,1802400.0
15,S01-110220,34394.0,6.0,901200.0
16,S01-110220,34394.0,8.0,1201600.0
17,S01-110220,34394.0,5.0,751000.0
18,S01-110220,34394.0,14.0,2102800.0
19,S01-110220,34394.0,11.0,1652200.0
20,S01-110220,34394.0,11.0,1652200.0
21,S01-110220,34394.0,13.0,1952600.0
22,S01-110220,34394.0,7.0,1051400.0
23,S01-110220,34394.0,6.0,901200.0
24,S01-110220,34394.0,7.0,1051400.0
25,S01-110220,34394.0,11.0,1652200.0
26,S01-110220,34394.0,13.0,1952600.0
27,S01-110220,34394.0,15.0,2253000.0
28,S01-110220,34394.0,7.0,1051400.0
29,S01-110220,34394.0,8.0,1201600.0
30,S01-110220,34394.0,10.0,1502000.0
31,S01-110220,34394.0,4.0,600800.0
32,S01-110220,34394.0,17.0,2553400.0
33,S01-110220,34394.0,11.0,1652200.0
34,S01-110220,34394.0,9.0,1351800.0
35,S01-110220,34394.0,15.0,2253000.0
36,S01-110220,34394.0,14.0,2102800.0
37,S01-110220,34394.0,15.0,2253000.0
38,S01-110220,34394.0,17.0,2553400.0
19,S02-010175,34400.0,72.0,258120.0
20,S02-010175,34400.0,200.0,717000.0
21,S02-010175,34400.0,220.0,788700.0
22,S02-010175,34400.0,388.0,1390980.0
23,S02-010175,34400.0,528.0,1892880.0
24,S02-010175,34400.0,456.0,1634760.0
25,S02-010175,34400.0,288.0,1032480.0
26,S02-010175,34400.0,387.0,1387594.58
27,S02-010175,34400.0,544.0,1950820.12
28,S02-010175,34400.0,340.0,1220069.83999999
29,S02-010175,34400.0,376.0,1348271.6
30,S02-010175,34400.0,468.0,1677874.27999999
